cat	city	locality	code	our_reviews	our_rating	place_id	comp_name	rating	reviews	category	domain	address	appearances	avg_pos	clinic_km	ever_sponsored	our_avg_rank	clinic_searches
MH	Bangalore	Arekere	BLR_ARKRE	227	4.889867841409692	16026282877433021645	Dr. Tarachand Naik B T | Psychiatrist (MBBS, MD)	5.0	132		drtarachandnaikbt.getmy.clinic	Opens soon · 10 am · Kothnur	65	1.1538461538461537	3.3187499999999996	False	0.0	65
MH	Bangalore	Arekere	BLR_ARKRE	227	4.889867841409692	14764162161935828761	Dr. Vijay Mehtry - Phoenix Psychiatry & Psychotherapy	4.9	100		phoenixpsychiatry.co.in	J. P. Nagar	31	2.2903225806451615	2.3	False	0.0	31
MH	Bangalore	Arekere	BLR_ARKRE	226	4.889380530973451	10253543091675375195	Dr Vikram's Brain & Body Clinic	4.9	311		fb.me	BTM Layout	26	2.1538461538461537	3.625	False	0.0	26
MH	Bangalore	Arekere	BLR_ARKRE	227	4.889867841409692	17897951276759876707	Nagma Thakor - Counselling & Psychotherapy Service	4.8	23		www.google.com	Medax hospital, Bannerghatta Rd, nr. carmel school, opp. Decathlon	18	2.4444444444444446		False	0.0	18
MH	Bangalore	Arekere	BLR_ARKRE	227	4.889867841409692	15527802242800173758	Best Psychiatrist - Dr. Srinivas | 16+ Yrs of Exp. | Apollo Hospitals Bangalore	4.5	22		www.apollohospitals.com	154, 11, Bannerghatta Rd	12	2.75	1.8	False	0.0	12
MH	Bangalore	Arekere	BLR_ARKRE	227	4.889867841409692	244447350087746186	Dr. Swapna B, 11+ yrs of Exp | Best Psychiatrist | Psychiatrist Near Me | Adhd | Best Psychiatrist	4.5	27		www.apollo247.com	HSR Layout	11	2.727272727272727	3.7	False	0.0	11
MH	Bangalore	Arekere	BLR_ARKRE	226	4.889380530973451	354128249470620809	Dr Sneha V	4.9	19		drsneha.in	BTM Layout	11	2.6363636363636362	3.2	False	0.0	11
MH	Bangalore	Arekere	BLR_ARKRE	227	4.889867841409692	684364992554046932	Best Psychiatrist - Dr. Roshan | 24+ Yrs of Exp. | Bangalore	4.0	25		www.apollohospitals.com	154, 11, Bannerghatta Rd	10	2.6	2.4	False	0.0	10
MH	Bangalore	Arekere	BLR_ARKRE	227	4.889867841409692	13939279588523809581	Dr. Shobha Krishna - Best Psychiatrist Near Me in Bannerghatta Road, Bangalore	5.0	11		www.google.com	Apollo Hospitals Bannerghatta Road, Opp.iim 154/11,bannerghatta Road. Bannerghatta Road	10	2.2		False	0.0	10
MH	Bangalore	Arekere	BLR_ARKRE	227	4.889867841409692	10925572090570832409	Dr Kulkarni's psychiatry	4.8	150		www.google.com	building, 1st floor, Sai Manasa, 703, 703, 30th Main Rd	7	3.0	4.15	False	0.0	7
MH	Bangalore	Arekere	BLR_ARKRE	227	4.889867841409692	7095801413251358217	Mibo The Mind Expert	4.8	383		www.mibo.care	near Carmel Convent School	4	2.25	6.1	True	0.0	4
MH	Bangalore	Arekere	BLR_ARKRE	227	4.889867841409692	3294912078844587944	Dr Harish K S-Consult With Best Psychiatry Doctor Near Me | Bipolar Disorder | Dyslexia | Mental Health | 6+ Yrs. of Exp.	4.3	6		www.apollo247.com	J. P. Nagar	4	3.0		False	0.0	4
MH	Bangalore	Arekere	BLR_ARKRE	227	4.889867841409692	7713390120470210064	Cadabams Hospitals	4.3	1200		www.google.com	280 15th Cross Road	3	3.0	4.5	True	0.0	3
MH	Bangalore	Bellandur	BLR_BLNDR	267	4.958646616541353	13232064372264393535	Dr Richa Kumari | Consult With Best Psychiatry Doctor Near Me | Bipolar Disorder | Dyslexia | Mental Health | 10+ Yrs. of Exp	4.4	50		www.apollo247.com	Bellandur	101	1.4554455445544554	2.534090909090909	False	0.0	101
MH	Bangalore	Bellandur	BLR_BLNDR	267	4.958646616541353	7617070039207052143	Thriving Minds by Dr. Ankita Priydarshini	4.8	83		www.google.com	HSR Layout	51	2.549019607843137	5.521428571428571	False	0.0	51
MH	Bangalore	Bellandur	BLR_BLNDR	267	4.958646616541353	134361389224391745	Anupma Gupta- The Happy Image Space	4.9	118		www.anupmagupta.com	3rd Floor, Insta Office, SAKET CALLIPOLIS, 301/302, Sarjapur - Marathahalli Rd	40	2.15	2.4076923076923076	False	0.0	40
MH	Bangalore	Bellandur	BLR_BLNDR	267	4.958646616541353	7423511375795987272	Dr. Pallavi Joshi	4.9	45		www.manipalhospitals.com	Survey No. 10P & 12P, Manipal Hospital, Room No. 015, Whitefield Main Rd	39	1.6923076923076923	4.6909090909090905	False	0.0	39
MH	Bangalore	Bellandur	BLR_BLNDR	267	4.958646616541353	12869804302950208946	Best Psychiatrist - Dr. Supriya | 6+ Yrs of Exp. | Bangalore	4.2	5		www.apollo247.com	Kasavanahalli	36	2.5277777777777777	2.5214285714285714	False	0.0	36
MH	Bangalore	Bellandur	BLR_BLNDR	267	4.958646616541353	3633371802934553050	Amaha Mental Health Centre, Sarjapur Road, Bangalore	5.0	27		www.google.com	Survey number 25, SGR -3	32	1.5625	2.3600000000000003	True	0.0	27
MH	Bangalore	Bellandur	BLR_BLNDR	267	4.958646616541353	15103604154192229838	Dr M Anand | Psychiatrist at Apollo Clinic in Mahadevapura	4.9	149		www.google.com	Apollo clinic, Puneet Rajkumar road, Outer Ring Rd	26	1.9615384615384615	5.292307692307692	False	0.0	26
MH	Bangalore	Bellandur	BLR_BLNDR	267	4.958646616541353	7804288992259584503	Alisha CA - Online Counseling Psychologist	4.9	35		www.google.com	Purvi Pride	19	1.736842105263158	1.8	False	0.0	19
MH	Bangalore	Bellandur	BLR_BLNDR	267	4.958646616541353	18446575521027600543	Dr. Samarth S. Shetty	5.0	61		www.manipalhospitals.com	ward. 150, Manipal Hospital, near Sarjapur - Marathahalli Road, opposite Iblur	17	2.764705882352941	3.0833333333333335	False	0.0	17
MH	Bangalore	Bellandur	BLR_BLNDR	267	4.958646616541353	9206853942996929173	Dr Tripti Vashishtha, Treated 16K+ Patients | Best Psychologist | Best Life Coach | Child Psychologist | ADHD | Premarital	4.8	18		www.apollo247.com	Kasavanahalli	17	2.823529411764706	2.4625000000000004	False	0.0	17
MH	Bangalore	Bellandur	BLR_BLNDR	267	4.958646616541353	8266218860457236711	Dr. Kumari Richa | Best Psychiatrist in Whitefield Bangalore | Mental Health | Stepcare Whitefield	5.0	12		stepcare.co.in	G-01, Ground floor	16	2.0625	4.6499999999999995	False	0.0	16
MH	Bangalore	Bellandur	BLR_BLNDR	267	4.958490566037736	6972994187569343704	Dr P L Narayana's Mind-Body Clinic	4.5	96		www.mind-bodyclinic.com	Brookefield	15	2.6	3.4	False	0.0	15
MH	Bangalore	Bellandur	BLR_BLNDR	267	4.958490566037736	1760232262976793044	The Nirvana Center	4.5	23		www.nirvanacenter.in	Spice Garden Layout	9	2.4444444444444446	1.9125	False	0.0	9
MH	Bangalore	Bellandur	BLR_BLNDR	267	4.958646616541353	4529665754844963818	Dr Prerna Maheshwari - Psychiatrist	5.0	25		www.google.com	Manipal Clinic, Sarjapur - Marathahalli Rd, opposite The Prestige City	9	2.6666666666666665		False	0.0	9
MH	Bangalore	Bellandur	BLR_BLNDR	266	4.958646616541353	7883463646530625026	Best Psychologist - Dr. Pragati | 5+ Yrs of Exp. | Bengaluru	5.0	1		www.apollo247.com	Bellandur	7	2.2857142857142856	1.3	False	0.0	7
MH	Bangalore	Bellandur	BLR_BLNDR	267	4.958646616541353	15082810405253430952	Best Psychiatrist - Dr. Deepa | 5+ Yrs of Exp. | Bengaluru				www.apollo247.com	Bellandur	6	2.6666666666666665	1.4	False	0.0	6
MH	Bangalore	Bellandur	BLR_BLNDR	267	4.958646616541353	11613977828117450772	Best Psychiatrist - Dr. Anand | 14+ Yrs of Exp. | Bengaluru	5.0	3		www.apollo247.com	Mahadevapura	5	2.8	4.6	False	0.0	5
