place_id	name	city	pathy	qualification	locality	reason	confidence
11971994768604868257	Navjyoti Sex Clinic	Ahmedabad	Thin	None found	Saraspur (Veekrati Road), Ahmedabad	"Generic unnamed ""sex clinic"" appearing only as a Mappls/Justdial map listing with no website, no named provider, and no verifiable medical degree."	medium
1390677642073887316	Sexologist HIV PEP STD	Bangalore	Allopathic	MBBS (VIMS Bellary, 2006), Fellowship in Sexual Medicine	Nagarbhavi / Ullal Upanagara, Bangalore	"Clinic ""Sexologist HIV PEP STD"" is run by Dr. Anand P R, who holds a registrable MBBS degree, making it Allopathic."	high
3940669953603297557	Nagmata sexual clinic	Chennai	Thin	None found	KK Nagar, Chennai	"No doctor name or medical degree is findable on any listing; Justdial shows it as ""Nagmatha Clinic (Closed Down)"" — a generic, unverifiable sex clinic."	medium
13297993290660882263	Baari dispensary	Coimbatore	Thin	None found	Kalapatti Pirivu, Coimbatore	"Only a bare Justdial listing exists for ""Baari Dispensary"" in Kalapatti Pirivu with no findable doctor name, no medical degree, and no confirmation of sexual-health services; unverifiable thin competitor."	medium
3578192774732132628	Dr KA Yadgir Sexologist since 1980	Hubli	Ayurvedic	"No registrable degree published; listed as ""Dr S M Yadagiri / Dr Yadgir, Sexologist since 1985"" — traditional Ayurvedic-style sexology practice"	JC Nagar (J C Road), Hubli	"Named findable doctor (Dr S M Yadagiri, JC Nagar Hubli) with a decades-old ""sexologist since 1985"" family clinic and no allopathic degree — fits the region's traditional Ayurvedic/Unani sexology pattern."	low
479152443239110577	DR.ALI'S SEXUAL HEALTH CLINIC	Hyderabad	Unani	"Not published (doctor referred to only as ""Dr Ali""; no degree listed on any directory)"	Chilkalguda, Padmarao Nagar / Mylargadda, Secunderabad, Hyderabad 500061	Eponymous standalone male-sexual-problems clinic in an old-city Muslim locality (Chilkalguda), 9am-10pm 7 days/week, no MBBS/registration published — the classic Unani hakim-style sexology setup; no degree verifiable so confidence low.	low
17579230641644407595	Dr. Poosha Darbha	Hyderabad	Non-medical	PhD & M.Sc Human Genetics (Andhra University); Fellow, Council of Sex Education & Parenthood Intl; life member IASECT	Erragadda / Theegapur, Hyderabad	Primary provider holds only a PhD/M.Sc in Human Genetics and works as a sexologist-counsellor with no registrable medical degree (no MBBS/MD/BAMS/BHMS/BUMS), so classified Non-medical.	high
15125593610800850710	Khaled Sexual Clinic	Hyderabad	Thin	Unknown / not findable	Hyderabad (specific locality not determinable)	No website, Practo/Justdial/Lybrate/Google listing, named provider, or medical degree could be found for this exact clinic despite multiple targeted searches; unverifiable competitor. Naming pattern loosely resembles Hyderabad's Muslim-run Unani sexual clinics but no branding or degree confirmed for this specific clinic.	low
10558277788118407313	Rahi Ayurvedic Unani Clinic Sex Specialist	Hyderabad	Ayurvedic	Not found (likely BAMS/Ayurveda-Unani practitioner; no named doctor or degree located online)	Hyderabad	"No individual doctor or website found, but the clinic's own branding explicitly labels it ""Ayurvedic Unani"" — Ayurveda named first, so mapped to Ayurvedic (AYUSH, non-allopathic)."	low
16259860159774403916	Dr. S A Kumar( Gandhamguda Hyderabad)	Hyderabad	Ayurvedic	BAMS (likely; unconfirmed)	Gandhamguda, Rajendra Nagar, Hyderabad	"No verifiable website/profile found for this exact name, but recurring directory signals point to a BAMS-qualified sexology (""gupt rog"") practitioner in the Gandhamguda/Rajendra Nagar area, mapping to Ayurvedic."	low
