Instant,,,,,,Online,,,,<>Hour Bucket,,,,,,,,      ,,,,,24,36,28,23,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
<>ALL,,,,,,<>All,,,,<>All,,,,,,,,,,,,,164,192,231,202,219,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinic,,,,,,,,,,,,,,,,,,,,,,,14.63%,18.75%,12.12%,11.39%,10.05%,,,,,,"Kurla West, Kurla, Mumbai",,,,,,,,,,,,,,,,L2C,,,,"""flow_token"":""LEAD_QUALIFICATION_V1""","""flow_token"":""lead_qualification_v1"""
Online,,,,,,,,,,,,,,,,,,,,,,,,,Apr,,Avbl Hrs,Bookings,,,,,"Borivali West, Mumbai",,,,,,,,,,,,,,,,Demand,,,,,
City,,,,,,,,,,,,,,,,,,,,,,,,,Ghk,,46,24,0.5217391304,5 to 8,,,"Andheri East, Mumbai",,,,,,,,,,,,,,,,B2D,,,,,
<>All,,,,,,,,,,,,,,,,,,,,,,,,,Che,,67,22,0.328358209,11 to 2,,,"Andheri West, Mumbai",,,,,,,,,,,,,,,,Tech Issue,,,,,
Practo Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thane West, Thane, Maharashtra",,,,,,,,,,,,,,,,,,,,,
<>All,,,,,,,,,,,,,,,,,,,,,,,,,May,,Avbl Hrs,Bookings,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider,,,,,,,,,,,,,,,,,,,,,,,,,Ghk,,55,28,0.5090909091,5 to 8,,,,,,,,,,,,,,,,,,,,,,,,
<>All, ,,,,,,,,,,,,,,,,,,,,,,,,Che,,53,7,0.1320754717,11 to 2,,,,,,,,,,,,,,,,,,,,,,,,
CITY TAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<>CITY_TAG,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overall,,,,,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24 May ,BenchMark,BenchMark-Max,Delta-M,Delta,24 May ,17 May ,10 May ,3 May ,26 Apr ,19 Apr ,12 Apr ,5 Apr ,29 Mar ,22 Mar ,15 Mar ,8 Mar ,1 Mar ,22 Feb ,15 Feb ,31 May ,24 May ,30 Apr ,31 Mar ,28 Feb ,31 Jan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dates,30 Mar ,,,,,18 May ,11 May ,4 May ,27 Apr ,20 Apr ,13 Apr ,6 Apr ,30 Mar ,23 Mar ,16 Mar ,9 Mar ,2 Mar ,23 Feb ,16 Feb ,9 Feb ,1 May ,1 May ,1 Apr ,1 Mar ,1 Feb ,1 Jan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Overall Offline,613,643,725,578,603,591,660,621,620,580,596,600,524,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<>Hour Bucket,,,,,Overall Offline - FB,,,,,,,,,,,,,,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Available Hours Ovr,,0.0,0,0,#DIV/0!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Available Hours FU,,,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%FU,,#DIV/0!,#DIV/0!,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Available Hours SC,,0.0,0,0,#DIV/0!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB+WA,,,,,,78,76,80,86,83,88,76,70,75,67,60,47,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Unique Bookings this week,,637,1133,-520,-24,613,643,725,578,603,591,660,621,620,580,596,600,524,0,0,2796,2165,2548,2562,416,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Same Day,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Later Day,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,67,60,67,76,77,83,62,58,64,57,49,39,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCC,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google (GMB),,70,455,-388,-3,67,60,67,76,77,83,62,58,64,57,49,39,40,0,0,291,225,295,222,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Listing,,11,53,-46,-4,7,10,10,10,13,12,8,9,5,9,11,5,5,0,0,41,32,44,31,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walk In,,2,57,-54,2,3,2,1,2,1,7,5,3,4,2,1,3,4,0,0,9,7,12,10,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC-Inbound,,50,368,-318,0,50,40,54,49,56,55,41,38,40,37,31,30,29,0,0,209,162,204,148,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,0,,,Google Paid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26.47%,9,,,GMB,43,34,49,40,47,46,35,33,38,36,29,28,25,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Number,Old Number,5,,,GMB Old Nos.,17,12,12,14,15,17,19,20,15,16,8,16,10,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indiranagar,Jayanagar",E-City,1,,,GMB : Bangalore,5,4,7,8,7,10,7,4,5,8,5,4,4,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Kalyan West, Dadar",2,,,GMB : Mumbai,8,6,10,6,7,5,1,2,2,5,8,2,7,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dilsukhnagar,"Kondapur,Sainikpuri,Attapur",-1,,,GMB : Hyderabad,3,4,5,0,5,5,3,3,6,3,2,2,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA,0,,,GMB : Pune,3,3,7,4,2,1,0,0,3,1,3,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA,0,,,GMB : Chennai,2,2,4,1,5,3,4,2,3,2,1,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
