location_id,store_code,title,city,tier,state,photos,videos,services_total,services_sti,services_sti_list,products,reviews_total,reviews_sti,total_inventory,total_sti
18318430719729112364,02740161375616232997,"Allo Health, Kothrud - Best Sexologist, Sex Doctors, Sex Health Clinic & STI/STD",Pune,T1,MH,31,3,58,16,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | STI ,0,330,12,422,28
1105893896870467898,04317848454253082752,Allo Health - Narsingi | Best Sexologist | Sex Doctor and Sexual Health Clinic i,Hyderabad,T1,TS,26,5,86,27,Comprehensive STI Panels | HIV Testing | Extragenital STI Testing (Oral/Rectal) | Chlamydia Testing | Herpes Testing | Home STI Testing Kits | STI Screening for High-Risk Individuals | STD Testing | P,0,300,22,417,49
1961685405653923566,01811573454924822478,"Allo Health, Tambaram - Best Sexologist & Sex Doctors in Chennai",Chennai,T1,TN,29,1,88,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,135,2,253,33
3038426419977855033,01818319990647139661,"Allo Health, Electronic City - Best Sexologist in Bangalore | Sex Doctor | Sex T",Bengaluru,T1,KA,52,5,89,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,618,18,764,49
5434516377940222764,04865911273522155444,"Allo Health, Bellandur - Best Sexologist in Bangalore | Sex Doctor | Sex Therapi",Bengaluru,T1,KA,44,1,98,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,382,6,525,37
6543092303033558037,11548180494366271373,"Allo Health, Visakhapatnam - Best Sexologist in Visakhapatnam | Sex Doctor | Sex",Visakhapatnam,T2,AP,25,0,89,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,19,4,133,35
554001656424784766,04177518185918994204,"Allo Health, Jayanagar - Best Sexologist in Bangalore | Sex Doctor | Sex Therapi",Bengaluru,T1,KA,47,5,89,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,798,21,939,52
18004701114486959273,06099704764092135486,"Allo Health, Ameerpet - Sexual Health Clinic",Hyderabad,T1,TS,31,4,90,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,899,35,1024,66
9719584286082144539,13560545098615350967,"Allo Health, Kengeri - Best Sexologist in Bangalore | Sex Doctor | Sex Therapist",Bengaluru,T1,KA,16,0,89,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,181,9,286,40
7222177911995979844,10775609659436480773,"Allo Health, Vashi | Best Sexologist | Sex Doctor and Sexual Health Clinic",Navi Mumbai,T1,MH,40,6,102,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,368,12,516,43
15834969181765676264,04576356447275594348,Allo Health - Kemps Corner,Mumbai,T1,MH,16,1,91,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,198,3,306,34
12238800764553363051,08328785622288825067,"Allo Health, Indiranagar - Mental & Sexual Health Clinic",Bengaluru,T1,KA,64,9,262,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,734,18,1069,49
13412576936814792533,06732409340204504607,"Allo Health, Kharghar - Best Sexologist in Mumbai | Sex Doctor | Sex Therapist |",Navi Mumbai,T1,MH,29,0,28,7,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment,0,248,10,305,17
14293850299487263871,00583984590134158487,"Allo Health, Kalyan West - Best Sexologist in Mumbai | Sex Doctor | Sex Therapis",Mumbai,T1,MH,26,4,100,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,385,9,515,40
16453457998709410641,08075446150041527464,"Allo Health, Aurangabad - Best Sexologist in Aurangabad | Sex Doctor | Sex Thera",Aurangabad,T2,MH,22,1,0,0,,0,37,1,60,1
1134774085832151554,11771832826519532285,"Allo Health, Madhapur",Hyderabad,T1,TS,8,0,0,0,,0,4,1,12,1
1451303946614655175,10585357813594260545,"Allo Health, Sahakara Nagar - Best Sexologist in Bangalore | Sex Doctor | Sex Th",Bengaluru,T1,KA,44,4,96,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,597,16,741,47
12549089976850631857,07680584005578225892,"Allo Health, Kondapur - Best Sexologist in Hyderabad | Sex Doctor | Sex Therapis",Hyderabad,T1,TS,51,9,90,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,947,34,1097,65
6038519577930388152,17642569615016470676,"Allo Health, KR Puram - Best Sexologist in Bangalore | Sex Doctor | Sex Therapis",Bengaluru,T1,KA,31,3,89,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,359,5,482,36
5776504624806474115,03671307900688291897,"Allo Health, Baner - Best Sexologist in Pune | Sex Doctor | Sex Therapist | Sex ",Pune,T1,MH,24,0,89,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,41,4,154,35
1678025661527334352,13737480253474750614,"Allo Health, Ahmedabad - Best Sexologist in Ahmedabad | Sex Doctor | Sex Therapi",Ahmedabad,T1,GJ,32,0,90,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,4,1,126,32
11072065981281125394,09298214239310489266,"Allo Health, Chinchwad - Best Sexologist, Sex Doctors, Sex Health Clinic in Pune",Pune,T1,MH,12,0,89,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,139,3,240,34
12369744412506563079,09233697518367585712,"Allo Health, Kharadi - Best Sexologist, Sex Doctors, Sex Health Clinic & STI/STD",Pune,T1,MH,30,2,89,30,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | STI ,0,305,4,426,34
11690769636463933632,10279363702020166875,"Allo Health, Dadar - Best Sexologist in Mumbai | Sex Doctor | Sex Therapist | Se",Mumbai,T1,MH,32,0,101,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,336,7,469,38
16414663288205258556,14366793370369453443,"Allo Health, Ranchi - Best Sexologist in Ranchi | Sex Doctor | Sex Therapist | S",Ranchi,T2,JH,41,0,89,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,399,6,529,37
18428812500995344552,03770701959043493752,"Allo Health, Hadapsar - Best Sexologist in Pune | Sex Doctor | Sex Therapist | S",Pune,T1,MH,28,2,89,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,419,13,538,44
7025335000325695002,08553094829917313313,"Allo Health, Thane - Best Sexologist in Thane | Sex Doctor | Sexologist in Mumba",Thane,T1,MH,38,18,80,27,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | Comp,0,482,20,618,47
14972625616199796151,05807279908494604746,"Allo Health, Ghatkopar - Best Sexologist in Mumbai | Sex Doctor | Sex Therapist ",Mumbai,T1,MH,52,6,98,31,Herpes Treatment | Chlamydia Treatment | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | STD Symptom Relief Plans | HIV ,0,456,4,612,35
13415892243645006344,09664532583188179687,"Allo Health, Whitefield - Best Sexologist in Bangalore | Sex Doctor | Sex Therap",Bengaluru,T1,KA,43,3,89,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,594,10,729,41
12620485434461296468,06474503316207830112,Allo Health,Bengaluru,?,,0,0,0,0,,0,0,0,0,0
14593166324238540082,02942392959716908491,"Allo Health - Sira Gate, Best Sexologist, Sex Doctors, Sex Health Clinic & STI/S",Tumkur,?,,8,0,56,7,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment,0,0,0,64,7
16859390687673316202,07870382480553794395,"Allo Health, Andheri East - Best Sexologist in Mumbai | Sex Doctor | Sex Therapi",Mumbai,T1,MH,27,7,128,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,698,13,860,44
8741736594769211267,,Allo Health Corporate Office,Bengaluru,T1,KA,13,0,0,0,,0,45,1,58,1
13984122501333476050,03133544890458944871,"Allo Health, Kukatpally - Sexual Health Clinic",Hyderabad,T1,TS,22,2,90,31,Herpes Treatment | Chlamydia Treatment | STD Symptom Relief Plans | STI Partner Notification Support | Walk-In STD Treatment | Herpes Specialist Consultation | Chlamydia and Gonorrhea Treatment | HIV ,0,418,25,532,56
