Shop code,Business name,Address,Labels,Google Search – Mobile,Google Search – Desktop,Google Maps – Mobile,Google Maps – Desktop,Calls,Messages,Bookings,Directions,Website clicks,Food orders,Food menu clicks,Hotel bookings
,,,,Number of people that viewed your Business Profile on Google Search using mobile,Number of people that viewed your Business Profile on Google Search using desktop,Number of people that viewed your Business Profile on Google Maps using mobile,Number of people that viewed your Business Profile on Google Maps using desktop,Number of interactions with the call button from your Business Profile,Number of conversations initiated from your Business Profile,Number of bookings made from your Business Profile,Number of requests for directions made from your Business Profile,Number of interactions with the website button from your Business Profile,Number of Food orders placed for pick-up or delivery from your Google Business Profile with an Order with Google Provider,Number of Food orders placed for pick-up or delivery from your Google Business Profile with an Order with Google Provider,Number of interactions with the hotel supplier's free booking link
13560545098615350967,"Allo Health, Kengeri - Best Sexologist in Bangalore | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Aarohi Hospital, Ground Floor, OPD 3, Site No. 81/2, Uttarahalli Main Rd, near Kodipalya, Kengeri, Bengaluru, Karnataka 560060","Bangalore, KA, T1",1203,103,917,23,30,0,0,62,20,0,0,0
10153586087657436813,"Allo Health, Coimbatore - Best Sexologist & Psychiatrist in Coimbatore | Sex Doctor | Sex Therapist | Sex Clinic","H&H (Heart & Her) Speciality Clinics, 1st Floor, Villiankurunchi Rd, Opp. Water Tank, Babu Vinobaji Nagar, Bharathi Nagar, Peelamedu, Coimbatore, Tamil Nadu 641004","Coimbatore, T2, TN",8554,431,1333,59,271,0,0,19,123,0,0,0
15588145427248929553,"Allo Health, Nashik - Best Sexologist in Nashik | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Medicure Multi-speciality Clinic 2.0, 26, Shree Ganesh Heights, opposite Arun Motors, Gumasta Layout, Tatya Tope Nagar, Khamla, Nagpur, Maharashtra 440015","MH, Nagpur, T2",8318,144,894,28,119,0,0,33,210,0,0,0
09298214239310489266,"Allo Health, Chinchwad - Best Sexologist, Sex Doctors, Sex Health Clinic in Pune","Shree Sadguru Multi Speciality Hospital, Talawade Rd, Vishwamala Housing, Society, Adaresh Society, Triveni Nagar, Chikhali, Pimpri-Chinchwad, Pune, Maharashtra 411062","MH, Pune, T1",1647,109,941,26,71,0,0,16,28,0,0,0
14246031395413580947,"Allo Health, Borivali - Best Sexologist in Mumbai | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Fatak bldg, Oscar Hitech Multispeciality Hospital,, Laxmi Niwas Borivali, SV Rd, Daulat Nagar, Borivali East, Mumbai, Maharashtra 400066","MH, Mumbai, T1",3961,222,947,46,96,0,0,42,30,0,0,0
10279363702020166875,"Allo Health, Dadar - Best Sexologist in Mumbai | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Thakur Hospital, Vidya Bhavan, 2nd Floor, 121, Shivaji Park, Opposite, Shivsena Bhavan, Dadar West, Mumbai, Maharashtra 400028","MH, Mumbai, T1",7367,259,1123,34,95,0,0,35,35,0,0,0
08328785622288825067,"Allo Health, Indiranagar - Mental & Sexual Health Clinic","The Life Plus Hospital, 4th Floor, 2, 80 Feet Road, near CHINMAYA MISSION HOSPITAL, HAL 3rd Stage, Indiranagar, Bengaluru, Karnataka 560075","Bangalore, KA, T1",16850,1381,4102,183,286,0,0,50,195,0,0,0
07122099451195063100,"Allo Health, Vijayawada - Best Sexologist in Vijayawada | Sex Doctor | Sex Therapist | Sex Clinic | STD/STI Testing","Medicare Multispeciality Hospital, 27-9-34, Vishnu Vardhana Rao St,, Suryaraopeta, Governor Peta, Vijayawada, Andhra Pradesh 520002","AP, T2, Vijayawada",2091,96,547,26,84,0,0,20,12,0,0,0
09233697518367585712,"Allo Health, Kharadi - Best Sexologist, Sex Doctors, Sex Health Clinic & STI/STD Specialist in Pune","Pune Superspeciality Clinic, 2nd Floor, near City Lights, Acolade Road, Kharadi, Pune, Bypass road, Central, opposite Nova IVF, Kharadi, Pune, Maharashtra 411014","MH, Pune, T1",2898,157,1209,39,124,0,0,22,22,0,0,0
