clinic,city,tier,truth_sti_pct,truth_total_calls,truth_sti_calls,rs_total_done,rs_sti_done,rs_sti_pct,gmb_share_of_done,practo_share_of_done,google_share_of_done,organic_share_of_done,gmb_sti_pct,practo_sti_pct,google_sti_pct,organic_sti_pct
Velachery,Chennai,top,39.0,170,66,144,56,38.88888888888889,43.05555555555556,13.194444444444445,11.805555555555555,20.833333333333336,45.16129032258064,26.31578947368421,41.17647058823529,30.0
Mogappair,Chennai,top,35.0,37,13,35,14,40.0,48.57142857142857,8.571428571428571,20.0,22.857142857142858,52.94117647058824,0.0,28.57142857142857,37.5
Nungambakkam,Chennai,top,34.0,88,30,86,24,27.906976744186046,44.18604651162791,8.13953488372093,22.093023255813954,18.6046511627907,21.052631578947366,28.57142857142857,31.57894736842105,37.5
Thoraipakkam,Chennai,top,33.0,24,8,37,9,24.324324324324326,35.13513513513514,16.216216216216218,24.324324324324326,24.324324324324326,38.46153846153847,0.0,22.22222222222222,22.22222222222222
HSR Layout,Bangalore,top,32.0,112,36,85,20,23.52941176470588,40.0,11.76470588235294,16.470588235294116,16.470588235294116,32.35294117647059,20.0,7.142857142857142,35.714285714285715
Koramangala,Bangalore,top,31.0,107,33,81,18,22.22222222222222,29.629629629629626,14.814814814814813,28.39506172839506,16.049382716049383,25.0,8.333333333333332,17.391304347826086,38.46153846153847
Tambaram,Chennai,top,30.0,43,13,56,19,33.92857142857143,58.92857142857143,7.142857142857142,19.642857142857142,14.285714285714285,45.45454545454545,0.0,18.181818181818183,25.0
Electronic City,Bangalore,top,28.0,101,28,84,19,22.61904761904762,34.523809523809526,8.333333333333332,23.809523809523807,22.61904761904762,24.137931034482758,14.285714285714285,30.0,15.789473684210526
Bellandur,Bangalore,top,28.0,82,23,65,13,20.0,24.615384615384617,18.461538461538463,29.230769230769234,21.53846153846154,25.0,16.666666666666664,21.052631578947366,14.285714285714285
Kondapur,Hyderabad,top,28.0,173,48,157,43,27.388535031847134,40.12738853503185,9.554140127388536,13.375796178343949,26.751592356687897,36.507936507936506,6.666666666666667,38.095238095238095,16.666666666666664
Jayanagar,Bangalore,mid,27.0,170,46,162,61,37.65432098765432,44.44444444444444,9.25925925925926,14.814814814814813,23.456790123456788,43.05555555555556,13.333333333333334,45.83333333333333,36.84210526315789
Indiranagar,Bangalore,mid,24.0,144,35,165,31,18.787878787878785,33.33333333333333,23.636363636363637,15.757575757575756,20.0,40.0,2.564102564102564,15.384615384615385,6.0606060606060606
Baner,Pune,mid,24.0,51,12,55,9,16.363636363636363,30.909090909090907,10.909090909090908,34.54545454545455,14.545454545454545,17.647058823529413,0.0,31.57894736842105,0.0
Whitefield,Bangalore,mid,23.0,132,30,121,28,23.140495867768596,33.057851239669425,15.702479338842975,21.487603305785125,21.487603305785125,40.0,21.052631578947366,7.6923076923076925,15.384615384615385
Andheri East,Mumbai,mid,23.0,105,24,102,25,24.509803921568626,33.33333333333333,11.76470588235294,31.372549019607842,14.705882352941178,26.47058823529412,8.333333333333332,34.375,20.0
Vijayanagar,Bangalore,mid,22.0,105,23,75,21,28.000000000000004,37.333333333333336,12.0,12.0,25.333333333333336,25.0,0.0,11.11111111111111,52.63157894736842
Kothrud,Pune,mid,22.0,96,21,98,25,25.510204081632654,39.795918367346935,8.16326530612245,25.510204081632654,20.408163265306122,20.51282051282051,25.0,32.0,30.0
Falnir Rd,Mangaluru,mid,22.0,54,12,37,11,29.72972972972973,37.83783783783784,13.513513513513514,29.72972972972973,18.91891891891892,35.714285714285715,0.0,36.36363636363637,28.57142857142857
KR Puram,Bangalore,mid,21.0,57,12,43,12,27.906976744186046,41.86046511627907,16.27906976744186,23.25581395348837,18.6046511627907,22.22222222222222,28.57142857142857,20.0,50.0
Wakad,Pune,mid,21.0,56,12,91,12,13.186813186813188,58.24175824175825,3.296703296703297,19.78021978021978,15.384615384615385,16.9811320754717,33.33333333333333,5.555555555555555,7.142857142857142
Kukatpally,Hyderabad,mid,20.0,82,16,72,20,27.77777777777778,43.05555555555556,8.333333333333332,30.555555555555557,18.055555555555554,32.25806451612903,0.0,18.181818181818183,46.15384615384615
MVP Colony,Visakhapatnam,mid,20.0,15,3,27,5,18.51851851851852,25.925925925925924,11.11111111111111,14.814814814814813,48.148148148148145,42.857142857142854,0.0,0.0,15.384615384615385
Ghatkopar,Mumbai,mid,19.0,143,27,128,23,17.96875,37.5,16.40625,17.96875,16.40625,22.916666666666664,14.285714285714285,8.695652173913043,23.809523809523807
Kengeri,Bangalore,mid,18.0,22,4,3,1,33.33333333333333,100.0,0.0,0.0,0.0,33.33333333333333,0,0,0
Ameerpet,Hyderabad,mid,18.0,77,14,90,19,21.11111111111111,35.55555555555556,7.777777777777778,31.11111111111111,14.444444444444443,28.125,57.14285714285714,7.142857142857142,23.076923076923077
Sahakara Nagar,Bangalore,mid,17.0,132,22,106,18,16.9811320754717,38.67924528301887,11.320754716981133,17.92452830188679,21.69811320754717,17.073170731707318,8.333333333333332,15.789473684210526,21.73913043478261
