location_id,title,city,n_all,avg_all,n_recent90,avg_recent90,n_prior90,avg_prior90,velocity_change,low_star_recent,response_rate_recent,top_theme
18318430719729112364,"Allo Health, Kothrud - Best Sexologist, Sex Doctors, Sex Hea",Pune,330,4.85,41,4.98,30,4.8,0.36666666666666664,0,1.0,
1105893896870467898,Allo Health - Narsingi | Best Sexologist | Sex Doctor and Se,Hyderabad,300,4.91,92,4.92,46,4.96,1.0,1,0.99,
1961685405653923566,"Allo Health, Tambaram - Best Sexologist & Sex Doctors in Che",Chennai,135,4.93,6,5,43,4.81,-0.8604651162790697,0,0.83,
3038426419977855033,"Allo Health, Electronic City - Best Sexologist in Bangalore ",Bengaluru,618,4.83,52,4.83,72,4.83,-0.2777777777777778,1,0.92,fees_high
5434516377940222764,"Allo Health, Bellandur - Best Sexologist in Bangalore | Sex ",Bengaluru,382,4.95,18,5,31,4.87,-0.41935483870967744,0,1.0,
6543092303033558037,"Allo Health, Visakhapatnam - Best Sexologist in Visakhapatna",Visakhapatnam,19,5,19,5,0,,19.0,0,0.47,
554001656424784766,"Allo Health, Jayanagar - Best Sexologist in Bangalore | Sex ",Bengaluru,798,4.87,101,4.74,95,4.88,0.06315789473684211,4,1.0,fees_high
18004701114486959273,"Allo Health, Ameerpet - Sexual Health Clinic",Hyderabad,899,4.82,76,4.78,65,4.86,0.16923076923076924,1,0.95,fees_high
9719584286082144539,"Allo Health, Kengeri - Best Sexologist in Bangalore | Sex Do",Bengaluru,181,4.86,19,4.79,4,5,3.75,0,1.0,
7222177911995979844,"Allo Health, Vashi | Best Sexologist | Sex Doctor and Sexual",Navi Mumbai,368,4.87,26,5,22,4.73,0.18181818181818182,0,1.0,
15834969181765676264,Allo Health - Kemps Corner,Mumbai,198,4.82,0,,0,,0.0,0,0.0,
12238800764553363051,"Allo Health, Indiranagar - Mental & Sexual Health Clinic",Bengaluru,734,4.75,27,4.85,51,4.73,-0.47058823529411764,1,0.93,fees_high
13412576936814792533,"Allo Health, Kharghar - Best Sexologist in Mumbai | Sex Doct",Navi Mumbai,248,4.92,36,5,55,4.96,-0.34545454545454546,0,1.0,
14293850299487263871,"Allo Health, Kalyan West - Best Sexologist in Mumbai | Sex D",Mumbai,385,4.84,21,5,24,4.88,-0.125,0,1.0,
16453457998709410641,"Allo Health, Aurangabad - Best Sexologist in Aurangabad | Se",Aurangabad,37,5,37,5,0,,37.0,0,0.89,
1134774085832151554,"Allo Health, Madhapur",Hyderabad,4,5,4,5,0,,4.0,0,0.0,
1451303946614655175,"Allo Health, Sahakara Nagar - Best Sexologist in Bangalore |",Bengaluru,597,4.87,60,4.97,40,4.75,0.5,0,1.0,
12549089976850631857,"Allo Health, Kondapur - Best Sexologist in Hyderabad | Sex D",Hyderabad,947,4.87,78,4.85,59,4.85,0.3220338983050847,2,0.97,
6038519577930388152,"Allo Health, KR Puram - Best Sexologist in Bangalore | Sex D",Bengaluru,359,4.85,19,4.79,35,4.49,-0.45714285714285713,1,0.95,
5776504624806474115,"Allo Health, Baner - Best Sexologist in Pune | Sex Doctor | ",Pune,41,4.78,35,4.74,6,5,4.833333333333333,2,0.94,fees_high
1678025661527334352,"Allo Health, Ahmedabad - Best Sexologist in Ahmedabad | Sex ",Ahmedabad,4,5,4,5,0,,4.0,0,1.0,
11072065981281125394,"Allo Health, Chinchwad - Best Sexologist, Sex Doctors, Sex H",Pune,139,4.89,91,4.95,48,4.79,0.8958333333333334,0,0.02,
12369744412506563079,"Allo Health, Kharadi - Best Sexologist, Sex Doctors, Sex Hea",Pune,305,4.85,42,4.79,45,4.98,-0.06666666666666667,2,0.98,fees_high
11690769636463933632,"Allo Health, Dadar - Best Sexologist in Mumbai | Sex Doctor ",Mumbai,336,4.87,38,4.84,35,4.94,0.08571428571428572,0,1.0,
16414663288205258556,"Allo Health, Ranchi - Best Sexologist in Ranchi | Sex Doctor",Ranchi,399,4.78,24,4.71,43,4.86,-0.4418604651162791,0,0.96,
18428812500995344552,"Allo Health, Hadapsar - Best Sexologist in Pune | Sex Doctor",Pune,419,4.92,51,5,46,5,0.10869565217391304,0,0.98,
7025335000325695002,"Allo Health, Thane - Best Sexologist in Thane | Sex Doctor |",Thane,482,4.86,35,4.89,48,5,-0.2708333333333333,1,1.0,fees_high
