exotel_number,system_source,leads_4wk,distinct_srcs_seen,registered_as,audit_flag,correct_source_(fill in)
08071175797,gmb,2653,1,not-registered,SUSPECT-not-registered-as-gmb,
08046800927,organic,1444,1,not-registered,ORGANIC-catchall-review,
08046801373,organic,710,1,not-registered,ORGANIC-catchall-review,
08045680561,google,440,1,city-number,OK-city-google,
07314621004,organic,415,1,not-registered,ORGANIC-catchall-review,
04440114608,gmb,350,1,CLINIC:Heart_&_Her_Allo_Clinic,OK-clinic-gmb,
08047160881,gmb,331,1,CLINIC:Life_Plus_Allo_Clinic,OK-clinic-gmb,
08047095391,organic,323,1,not-registered,ORGANIC-catchall-review,
04446274111,gmb,309,1,CLINIC:Lapser_Allo_Clinic,OK-clinic-gmb,
08046810621,organic,305,1,not-registered,ORGANIC-catchall-review,
08045680040,organic,285,1,not-registered,ORGANIC-catchall-review,
04045208658,google,276,1,city-number,OK-city-google,
08046801869,organic,272,1,not-registered,ORGANIC-catchall-review,
02248903535,gmb,252,1,CLINIC:Vedant_Allo_Clinic,OK-clinic-gmb,
08047160897,gmb,250,1,CLINIC:Adhventha_Allo_Clinic,OK-clinic-gmb,
04045206011,gmb,239,1,CLINIC:HALE-Allo_Clinic,OK-clinic-gmb,
08047280291,gmb,236,1,CLINIC:Vikyath_Allo_Clinic,OK-clinic-gmb,
02048556242,google,230,1,city-number,OK-city-google,
04446274445,gmb,221,1,CLINIC:Birthwave_Allo_Clinic,OK-clinic-gmb,
02241484680,gmb,210,1,CLINIC:Curesta_Allo_Clinic,OK-clinic-gmb,
04045206005,gmb,207,1,CLINIC:RAD_Allo_Clinic,OK-clinic-gmb,
02241483789,gmb,204,1,CLINIC:Savali_Allo_Clinic,OK-clinic-gmb,
08046810633,gmb,203,1,CLINIC:UMC,OK-clinic-gmb,
04045209200,gmb,200,1,CLINIC:Sudershan_Allo_Clinic,OK-clinic-gmb,
08071176846,practo,199,1,not-registered,not-registered-practo,
02248930405,gmb,198,1,CLINIC:Infinity_Allo_Clinic,OK-clinic-gmb,
04448133450,google,197,1,city-number,OK-city-google,
08047280292,gmb,194,1,CLINIC:TIDE_Allo Clinic,OK-clinic-gmb,
08047280297,gmb,181,1,CLINIC:DHC- Allo Health Sexual Wellness Clinic,OK-clinic-gmb,
08046810320,gmb,175,1,CLINIC:NEO- Allo_Clinic,OK-clinic-gmb,
01414931073,gmb,172,1,CLINIC:Asha_Clinic_Allo_Clinic,OK-clinic-gmb,
02248902940,gmb,168,1,CLINIC:Oscar_Allo_Clinic,OK-clinic-gmb,
02241484446,gmb,167,1,CLINIC:Pune_SSC_Allo_Clinic,OK-clinic-gmb,
02248903123,gmb,163,1,CLINIC:Vatsal-Allo Clinic,OK-clinic-gmb,
08047160977,gmb,159,1,CLINIC:United_Medical_Allo_Clinic,OK-clinic-gmb,
03340585119,gmb,158,1,CLINIC:Jeevah_Allo_Clinic,OK-clinic-gmb,
08047280293,gmb,155,1,CLINIC:Nurture_Allo_Clinic,OK-clinic-gmb,
08047280295,gmb,149,1,CLINIC:Jeevasare_Allo_Clinic,OK-clinic-gmb,
02241483808,gmb,149,1,CLINIC:DMS_Allo_Clinic,OK-clinic-gmb,
08045680688,organic,147,1,not-registered,ORGANIC-catchall-review,
04440114798,gmb,147,1,CLINIC:MMRV_Allo_Clinic,OK-clinic-gmb,
04045209635,gmb,140,1,CLINIC:Olive_Tree_Allo_Clinic,OK-clinic-gmb,
02248904327,google,132,1,city-number,OK-city-google,
